query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-10-26T11:00:06Z,14.48,ОДЕССА 26 ОКТЯБРЯ 2025. В0ЙНА ЗАКОНЧИТСЯ 15 ЯНВАРЯ 2026! КОМАНДИР НАСИЛ0ВАЛ СОЛДАТ! БУСИФИКАЦИЯ-ЕСТЬ,Препод От Бога,https://www.youtube.com/watch?v=MjsflYrKThY,"Подписывайтесь на Boosty, чтобы смотреть реалити сериал «Беженец» : boosty.to/prepodotboga Или - становитесь ..."
бусификация,2025-10-26T10:01:22Z,1.23,Бусифікація Невідомо За Що #згідно32 #мобілізація #пильнийдніпрянин #shorts,Пильний Дніпрянин,https://www.youtube.com/watch?v=tXK4jkFZ5zI,PoliceofDnipro Бусифікація Невідомо За Що #згідно32 #мобілізація #пильнийдніпрянин #shorts #поліція #тцк #блокпост ...
бусификация,2025-10-26T04:08:03Z,0.27,Бусификация продолжается!,Двойные стандарты Украины,https://www.youtube.com/watch?v=XiiiY12j3YI,
бусификация,2025-10-26T00:14:27Z,0.75,«Урок 4. Чому бусифікація це погано»,Інсайдер,https://www.youtube.com/watch?v=XPoUpAEJ8dI,
бусификация,2025-10-24T14:05:06Z,0.83,найди ИПСО#бусификация,OdessaMaik dogs Channel,https://www.youtube.com/watch?v=0GWvBHcSt1o,
бусификация,2025-10-24T13:07:35Z,0.82,"В Україні немає ніякої бусифікації, у нас є закон про мобілізацію, - речник Київського ТЦК Байдалюк",Політична правда,https://www.youtube.com/watch?v=R0ekI32NKZo,
бусификация,2025-10-24T05:15:01Z,0.4,КАДРЫ БУСИФИКАЦИИ ТЦК,ПЕШКА В ПОЛИТИКЕ,https://www.youtube.com/watch?v=DSD95sTz-VU,
бусификация,2025-10-24T02:55:17Z,0.08,Невідомі особи затягли до буса курьєра🤬‼️Підпишись🔥щоб бути в курсі #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=sFwgU6eij5w,
бусификация,2025-10-24T02:49:58Z,0.28,Поліцейський тішиться безкарністтю🤬‼️Підпишись🔥щоб бути в курсі #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=R9EXm-uJrfs,
бусификация,2025-10-23T13:58:57Z,0.7,Камера засняла черговий треш‼️Підпишись🔥щоб бути в курсі #бусификация #бусифікація #shorts #шортс,Реалії України 🇺🇦,https://www.youtube.com/watch?v=uB6s6kDcY_w,
бусификация,2025-10-23T09:51:28Z,0.57,ТЦКашніки натовпом б&#39;ють цивільного🤬‼️Підпишись🔥щоб бути в курсі #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=X_3ge0yma1w,
бусификация,2025-10-23T08:59:54Z,1.45,Бусификация в РФ,Check,https://www.youtube.com/watch?v=46v7fyTiVFQ,
бусификация,2025-10-23T06:06:24Z,0.25,Мобилизация Облавы в Москве! Бусификация в России! Призыв Мяса на ФРОНТ! Ухилянт Дезертир СВО,Австралия навсегда!,https://www.youtube.com/watch?v=WiqLikpqDbE,"Основной канал об иммиграции ""Австралия рулит!""- https://www.youtube.com/channel/UC3PXrl3LJtOPPtUSGU4U-AA Чат в ..."
бусификация,2025-10-23T05:52:30Z,0.17,Коли на шляху блокпост ТЦК😄Підпишись🔥щоб бути в курсі#shorts #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=mU2fYOGVZqo,
бусификация,2025-10-23T05:12:06Z,0.43,Каліцтва людей в Одеському ТЦК🤬‼️Підпишись🔥щоб бути в курсі#shorts #бусификация #бусифікація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=v9kbBC0T7vo,
бусификация,2025-10-23T02:37:03Z,1.45,Реалії ВЛК🤬Підпишись🔥щоб бути в курсі подій#shorts #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=fhFo6fHv6pY,
бусификация,2025-10-22T07:01:00Z,0.87,Браво! 💪 Коли Вчився На Мусора А Тебе Змушують Бути Поліцейським! #розшук #поліціяукраїни #пильний,Пильний Дніпрянин,https://www.youtube.com/watch?v=rr0WQJPDPlU,PoliceofDnipro Браво! Коли Вчився На Мусора А Тебе Змушують Бути Поліцейським! #розшук #поліціяукраїни #пильний ...
бусификация,2025-10-21T18:00:51Z,0.65,🔥 Послал ТЦКшника На Все Буквы 🤬 #остановила_полиция #патрульная_полиция #полиция_украина #полиция,Правовое Государство,https://www.youtube.com/watch?v=qSF0iQeQzqs,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
бусификация,2025-10-21T15:17:17Z,1.15,База.Просто база.Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк #shorts,Реалії України 🇺🇦,https://www.youtube.com/watch?v=mBZfpdup8K4,
бусификация,2025-10-21T14:39:57Z,14.15,Мобилизация в Москве? Облавы на призывников!,Иоганн Себастьян,https://www.youtube.com/watch?v=ADaD-5mCDNY,"Мобилизация в России не объвлена, а в Москве идут облавы на призывников. В метро для ловли призывников ..."
бусификация,2025-10-21T12:00:24Z,8.02,Бусификация в Украине и почему закончились добровольцы? Кто виноват? - отвечает 🦅 Гари Табах,Gary Yuri Tabach (Гари Юрий Табах),https://www.youtube.com/watch?v=syaZC-0gQxE,Помогите центру Kinder Velt продолжить работу в Кропивницком : http://bit.ly/4nTG7cJ Поддержите канал Татьяны ...
бусификация,2025-10-21T11:21:09Z,0.32,Запоминай движение #тцк #поход #танцы #движения #ритм #бусификация,ТУПОЙ КРЮЧОК,https://www.youtube.com/watch?v=0F-YhWzB20g,
бусификация,2025-10-21T08:07:52Z,0.18,Мобилизация Облавы в Москве! Бусификация в России! Призыв Мяса на ФРОНТ! Ухилянт Дезертир СВО,Австралия навсегда!,https://www.youtube.com/watch?v=_l9pNuEmyFM,"Основной канал об иммиграции ""Австралия рулит!""- https://www.youtube.com/channel/UC3PXrl3LJtOPPtUSGU4U-AA Чат в ..."
бусификация,2025-10-21T02:37:44Z,0.53,"😱На блокпостах ТЦК їх більш, ніж на фронті! Підпишись🔥щоб бути в курсі#бусификация #бусифікація",Реалії України 🇺🇦,https://www.youtube.com/watch?v=KNn2Mw7ZEKM,
бусификация,2025-10-20T18:43:56Z,2.98,🔥 Люди Вышли Против Бусификации! Терпение Лопнуло! 😳 #тцк #тцксп #тцктасп #бусификация,Правовое Государство,https://www.youtube.com/watch?v=JiM6AE2cL14,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
тцк,2025-10-20T18:10:40Z,0.58,🔥 Дама Прогнала ТЦК | Они В Страхе Прыгнули В Бусик 😳 #тцк #тцксп #тцктасп #бусификация #одесса,Правовое Государство,https://www.youtube.com/watch?v=uGzp39lZ6is,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
бусификация,2025-10-20T17:30:10Z,3.48,💥Зеленський ПРИЙНЯВ термінове РІШЕННЯ! Офіс ШОКУВАВ про МОБІЛІЗАЦІЮ! Коли заборонять БУСИФІКАЦІЮ⁉️,Розумна Політика,https://www.youtube.com/watch?v=krn2_WVaJFY,"Бусифікація - відомий в народі провальний механізм залучення чоловіків до армії насильницьким методом, що здійснює ..."
тцк,2025-10-20T17:09:53Z,1.32,🔥 ВСУ Лихо Отбили Парня У ТЦК | Чуть Не Случилось Непоправимое 😳 #тцк #тцксп #тцктасп #бусификация,Правовое Государство,https://www.youtube.com/watch?v=FYqh4LbiYRY,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
бусификация,2025-10-20T14:24:17Z,9.22,Бусификация по-русски: облавы на призывников в Москве,Популярная политика,https://www.youtube.com/watch?v=EBYJIUFkqvg,"В Москве с помощью распознавания лиц ловят призывников. Дарья Берг из движения «Идите лесом!» рассказывает, как ..."
бусификация,2025-10-20T12:17:30Z,0.22,Бусифікація триває ..Підпишись🔥щоб бути в курсі подій #бусификация #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=j6FGdOwCqM4,
бусификация,2025-10-20T10:52:55Z,0.85,Одеса.Беззаконня продовжується...Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Dp20K513MRI,
бусификация,2025-10-20T06:07:36Z,1.0,Мобілізація чи бусифікація: вирок українській системі  #україна,Тарас Бузак,https://www.youtube.com/watch?v=A64K8dM49t4,"мобілізація #бусифікація #корупція #українська_влад #ЗCУ РАЗУМКОВ: Півтора мільйона людей у розшуку, 290 тисяч ..."
бусификация,2025-10-25T02:22:12Z,0.7,На заваді бусифікації став народ‼️Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Ae98OotXgPI,
бусификация,2025-10-24T16:55:44Z,1.13,По марафону скажуть-генерятина🤬Підпишись🔥щоб бути в курсі #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=dt2Wg93tUgA,
бусификация,2025-10-23T09:59:08Z,1.22,Народ проти ТЦК‼️Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=cGoBQwsPDmM,
бусификация,2025-10-23T06:14:22Z,0.22,Бусификация &quot;добровольца&quot; в Харькове #тцк #войнавукраине2025 #зеленский,БусификаторUA,https://www.youtube.com/watch?v=a1LOdsV1w7Q,
бусификация,2025-10-23T05:17:15Z,1.18,Змін не має.Бусифікують і надалі‼️Підпишись🔥щоб бути в курсі#shorts #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=T497DQwSXA4,
бусификация,2025-10-21T09:47:29Z,0.15,Київ.Праця людоловів🤬Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=F1DbehCi-Ko,
бусификация,2025-10-21T02:44:20Z,0.55,🤬ТЦКашніки знову знайшли жертву.Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=ELIVacH6DtQ,
бусификация,2025-10-21T02:31:01Z,0.2,ТЦК знову викрали людину.Підпишись🔥щоб бути в курсі #бусификация #бусифікація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=66952DlQfyY,
бусификация,2025-10-20T08:01:05Z,0.42,🤬Луцьк.Викрадення людини ТЦК.Підпишись🔥щоб знати більше #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=u_7QQFymN88,
тцк,2025-10-26T20:40:08Z,0.42,Мега полювання ТЦК на чоловіків 😱 #україна #мобілізація #тцк #новини #війна #новиниукраїни,ALL ,https://www.youtube.com/watch?v=Z6PS6b3z6nQ,
