query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-12-21T05:30:27Z,0.58,ТЦК в Дніпрі. Підпишись🔥підтримай поширення. #бусификация #бусифікація #новини #news,ЗлийКіт,https://www.youtube.com/watch?v=TDcOCpgxkNs,
тцк,2025-12-20T12:50:51Z,8.75,ДНЕПР ТЦК БУСИФИКАЦИЯ ПОЛНЫМ ХОДОМ 😱 ЗАСТАВЛЯЮТ ГОВОРИТЬ НА МОВЕ🤔,dmpro,https://www.youtube.com/watch?v=XKS0-ZRm-Ss,"ВСЕМ ПРИВЕТ ДРУЗЬЯ СПАСИБО ЗА ПРОСМОТР , ЛАЙК И КОНЕЧНО ПОДПИСКУ #dmpro #беспределтцк ..."
бусификация,2025-12-20T05:30:13Z,0.62,ТЦК і поліція бусифікують цивільних‼️Підпишись🔥підтримай поширення #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=9acb_wyZpd0,
тцк,2025-12-19T04:30:00Z,0.22,ТЦК &quot;воює&quot; з безпорадними‼️Для них не має гарних слів🤬 #бусификация #бусифікація #новини #news,ЗлийКіт,https://www.youtube.com/watch?v=aGACHRU41_s,
тцк,2025-12-18T19:00:00Z,0.92,Бусификация &quot;добровольца&quot; как по учебнику в Харькове #тцк #войнавукраине2025 #зеленский,БусификаторUA,https://www.youtube.com/watch?v=0SJHQVBJKcI,
тцк,2025-12-18T04:30:33Z,0.63,"ТЦК перейшли межу, але втрутились жінки #бусификация #бусифікація #news #новини",ЗлийКіт,https://www.youtube.com/watch?v=_uA_Bpd9rq0,
тцк,2025-12-17T04:30:38Z,0.42,ТЦК не вистачило клепки😂Підпишись🔥підтримай поширення #бусификация #бусифікація #news #новини,ЗлийКіт,https://www.youtube.com/watch?v=mZd8YL-c5vo,
бусификация,2025-12-16T04:30:41Z,0.22,ТЦК нарвались не на того😎Підпишись🔥підтримай йпоширення #бусификация #бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=rY5oUryw5RE,
бусификация,2025-12-15T08:12:58Z,0.72,Вишгород. Поліція і ТЦК ламають дереві🤬 #бусификация #бусифікація #новини #новиниукраїни,Реалії України 🇺🇦,https://www.youtube.com/watch?v=n1a4O5-lzpM,
бусификация,2025-12-15T07:21:51Z,0.22,Днепр ТЦК бусификация!Dnepr busifikatsiya!,Санчес,https://www.youtube.com/watch?v=ZG4H2-otQb4,
бусификация,2025-12-15T04:30:23Z,0.43,Гуртом відбились від свавілля ТЦК💪Підпишись🔥підтримай поширення #бусификация #бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=KjkdcZ4VbXY,
бусификация,2025-12-18T20:42:08Z,5.02,Мелиоративное ТЦК бусификация стрельба людоловы 17.12.2025,Вася,https://www.youtube.com/watch?v=IFFkN0xqL0Y,"Бусификация и стрельба в ПГТ Мелиоративное,17.10.2025."
тцк,2025-12-21T11:18:54Z,0.63,ТЦК ЦЕ ПРОСТО ДУРДОМ,НЕЗАЛЕЖНІ МЕДІА,https://www.youtube.com/watch?v=YkSpXHhTlvk,
тцк,2025-12-21T11:10:18Z,1.02,Насильно вручили повістку #україна #війна #разомдоперемоги #зсу #тцк,Знай Свій Край,https://www.youtube.com/watch?v=cItmElcIGgk,
тцк,2025-12-21T11:00:33Z,2.67,#ТЦК #призовників #розшук #суд #позов,Юридические новости и лайфхаки | адвокат Васильев ,https://www.youtube.com/watch?v=HKpLAU9HDGQ,
тцк,2025-12-21T11:00:03Z,0.77,Вийшов За Водою А ПОТРАПИВ У ТЦК❌,Пильний Дніпрянин,https://www.youtube.com/watch?v=0zPxDcWSz-0,Вийшов За Водою А ПОТРАПИВ У ТЦК❌ https://youtube.com/shorts/0zPxDcWSz-0?feature=share Ставте та підписуйтесь ...
тцк,2025-12-21T11:00:06Z,12.15,ОДЕССА 21 ДЕКАБРЯ 2025. ЗАМЕНА БУЛГАКОВУ! ПАРЕНЬ ИЗ МОСФИЛЬМА ПРОВОЦИРУЕТ ТЦК! ОДЕССА-НЕ УКРАИНА?,ПРЕПОД ОДЕССА,https://www.youtube.com/watch?v=lV2_aNMmPRA,"Подписывайтесь на Boosty, чтобы смотреть реалити сериал «Беженец» : boosty.to/prepodotboga Или - становитесь ..."
