query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2026-01-25T11:23:42Z,9.98,"Я прячусь от ТЦК 3 месяца: сломали нос, бусификация, похудел до 50 кг 2026",ТЦК 365,https://www.youtube.com/watch?v=9CQ_NWMnk94,"Я прячусь от ТЦК 3 месяца: сломали нос, бусификация, похудел до 50 кг 2026 Я Роман, 25 лет, круглый сирота из села на ..."
бусификация,2026-01-25T06:00:19Z,0.32,Людолови за роботою.Закону не має😞Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк,ЗлийКіт,https://www.youtube.com/watch?v=V3_sa1eIKMk,
бусификация,2026-01-24T18:06:22Z,4.98,Чатрулетка Украина – БУСИФИКАЦИЯ – Пiвденний Барс,MadLands: Onslaught,https://www.youtube.com/watch?v=TSJ_egobevM,"БУСИФИКАЦИЯ. Украинский блогер ""Пiвденний Барс"" переобувается в воздухе."
тцк,2026-01-24T06:00:49Z,0.2,Несуть &quot;добровольця&quot;😞Підпишись🔥підтримай поширення #бусификация #бусифікація #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=sn3CAOCzeA4,"Чергове ""ІПСО"" у Харкові. Чоловіка тягнуть по землі і запихають у бус   Але саме цікаве у тому, що цей хлопчина є дійсним ..."
бусификация,2026-01-23T06:57:22Z,1.6,О Бусификации – Украинский Блогер Андрей Попик Сбежал #чатрулетка #украина #бусификация #мобилизация,MadLands: Onslaught,https://www.youtube.com/watch?v=7p1_kClBR8I,"Украинский блогер, как всегда, избегает неудобных вопросов."
бусификация,2026-01-22T18:04:33Z,1.28,Бусификация НЕ Системна? #бусификация #мобилизация  #украина #война #рашка,MadLands: Onslaught,https://www.youtube.com/watch?v=1e4vMLmLsOM,"Аргумент: бусификация – не системное явление, потому что мало случаев. Давайте разбираться."
тцк,2026-01-22T16:01:04Z,0.13,"Поліція, яка не воює.Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк #новини",ЗлийКіт,https://www.youtube.com/watch?v=dZHj4uFEc5o,"Чи такого ставлення ми з вами очікуємо від поліції, яка отримує кошти з наших податків?"
бусификация,2026-01-22T05:00:36Z,0.13,ТЦК пробили дно‼️ #бусификация #бусифікація #news,ЗлийКіт,https://www.youtube.com/watch?v=TTD0_9QuClk,
бусификация,2026-01-21T05:00:15Z,0.2,Жінки дубасять ТЦК😎Підпишись🔥підтримай поширення #бусификация #бусифікація #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=IFdSUGR0zgU,
бусификация,2026-01-20T17:00:00Z,3.02,"Почему продолжается бусификация, кому она нужна и почему это не мобилизация",ЄВСЮТІН Shorts,https://www.youtube.com/watch?v=aTTACKSDXPs,"адвокат по военным, миграционным, уголовным, семейным, экономическим, международным делам с 2007 года. Имею ..."
