date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M
2022-06-27 12:05:34,False,True,DE,510,Baseline (Pre-Audit),False,False,False
2022-06-27 12:31:31,False,False,Non-EU,154,Baseline (Pre-Audit),False,False,False
2022-06-28 07:40:10,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2022-06-28 07:55:51,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2022-06-28 08:00:16,False,True,DE,973,Baseline (Pre-Audit),False,False,False
2022-06-28 09:40:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-28 09:46:38,False,False,Non-EU,27,Baseline (Pre-Audit),False,False,False
2022-06-28 11:01:30,False,False,Non-EU,56,Baseline (Pre-Audit),False,False,False
2022-06-28 11:07:21,True,False,Non-EU,11,Baseline (Pre-Audit),False,False,False
2022-06-28 11:12:17,True,False,Non-EU,13,Baseline (Pre-Audit),False,False,False
2022-06-28 11:44:18,True,False,Non-EU,13,Baseline (Pre-Audit),False,False,False
2022-06-28 11:55:20,False,True,DE,77,Baseline (Pre-Audit),False,False,False
2022-06-28 12:03:30,False,,,119,Baseline (Pre-Audit),False,False,False
2022-06-28 12:05:41,False,,,71,Baseline (Pre-Audit),False,False,False
2022-06-28 12:43:10,False,True,DE,2903,Baseline (Pre-Audit),False,False,False
2022-06-28 13:38:39,False,False,Non-EU,28,Baseline (Pre-Audit),False,False,False
2022-06-28 15:03:28,False,False,Non-EU,77,Baseline (Pre-Audit),False,False,False
2022-06-28 15:16:42,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-28 15:35:40,True,False,Non-EU,106,Baseline (Pre-Audit),False,False,False
2022-06-28 16:27:32,True,False,Non-EU,276,Baseline (Pre-Audit),False,False,False
2022-06-28 16:36:42,True,False,Non-EU,194,Baseline (Pre-Audit),False,False,False
2022-06-28 17:02:33,True,,,38,Baseline (Pre-Audit),False,False,False
2022-06-28 17:03:05,True,False,Non-EU,10,Baseline (Pre-Audit),False,False,False
2022-06-28 17:05:41,True,False,Non-EU,83,Baseline (Pre-Audit),False,False,False
2022-06-28 17:28:23,True,False,Non-EU,16,Baseline (Pre-Audit),False,False,False
2022-06-28 17:41:05,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-28 17:41:19,True,False,Non-EU,64,Baseline (Pre-Audit),False,False,False
2022-06-29 10:17:46,True,False,Non-EU,30,Baseline (Pre-Audit),False,False,False
2022-06-29 10:26:01,True,False,Non-EU,205,Baseline (Pre-Audit),False,False,False
2022-06-29 11:28:46,True,False,Non-EU,44,Baseline (Pre-Audit),False,False,False
2022-06-29 11:29:46,True,False,Non-EU,70,Baseline (Pre-Audit),False,False,False
2022-06-29 11:38:49,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 11:39:44,True,False,Non-EU,43,Baseline (Pre-Audit),False,False,False
2022-06-29 15:33:53,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 18:36:35,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 20:45:40,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 21:17:25,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 21:50:15,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-29 22:05:05,True,False,Non-EU,39,Baseline (Pre-Audit),False,False,False
2022-06-29 23:27:09,True,False,Non-EU,81,Baseline (Pre-Audit),False,False,False
2022-06-29 23:52:00,True,False,Non-EU,25,Baseline (Pre-Audit),False,False,False
2022-06-30 03:50:36,True,,,22,Baseline (Pre-Audit),False,False,False
2022-06-30 03:59:38,True,,,32,Baseline (Pre-Audit),False,False,False
2022-06-30 04:08:12,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-30 04:09:40,True,,,0,Baseline (Pre-Audit),False,False,False
2022-06-30 04:38:54,True,,,61,Baseline (Pre-Audit),False,False,False
2022-06-30 05:01:29,True,,,44,Baseline (Pre-Audit),False,False,False
2022-07-11 07:49:56,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-07-13 12:52:51,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-07-18 13:29:30,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-04 13:04:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-04 17:52:10,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-07 10:23:16,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-08 11:21:30,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-17 15:25:43,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-18 08:00:28,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-22 21:14:00,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 11:01:40,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 11:01:58,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 11:47:21,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 11:47:34,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 11:48:06,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 12:16:54,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-25 12:17:13,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-08-31 10:16:29,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-07 13:44:07,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-11 13:32:51,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-11 18:18:28,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-12 15:00:37,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-12 19:17:08,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-09-15 13:28:43,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-12-12 10:40:01,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-01-07 13:36:49,False,,,0,Baseline (Pre-Audit),False,False,False
2023-01-11 17:10:59,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-01-11 17:11:52,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-01-17 14:17:55,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-02-08 11:25:35,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-02-09 09:35:49,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-02-09 09:35:49,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-03-02 12:47:52,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-03-06 11:33:15,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-03-06 16:05:34,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-03-23 14:15:03,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-03-31 18:53:15,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-02 13:53:40,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-02 13:54:34,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-03 16:07:30,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-05 09:09:05,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-07 11:10:42,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-19 13:49:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-04-20 10:02:43,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-05-10 10:31:58,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-05-11 07:30:54,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-05-26 16:16:36,False,True,DE,4,Baseline (Pre-Audit),False,False,False
2023-05-26 16:18:08,False,,,816,Baseline (Pre-Audit),False,False,False
2023-05-26 16:31:49,False,True,DE,415,Baseline (Pre-Audit),False,False,False
2023-10-20 20:48:27,True,True,DE,0,Baseline (Pre-Audit),False,False,False
2023-11-20 11:55:12,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2023-12-14 12:18:47,False,True,RO,0,Baseline (Pre-Audit),False,False,False
2023-12-30 19:00:01,True,True,DE,0,Baseline (Pre-Audit),False,False,False
