query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-08-10T18:17:51Z,8.23,«Бусификация» и ставка на чудо оружие реально или миф?,Сергей Лебедев,https://www.youtube.com/watch?v=TTzbyskf_iA,"Вопрос: …это нужно до ослабления России (чтоб хотя бы добровольцы закончились и объявили мобилизацию), но главная ..."
бусификация,2025-08-10T17:05:41Z,0.45,"🚨🤯Жінка вилізла на дах буса, рятуючи чоловіка від ТЦК #бусификация #силова #поліція #бусифікація",Реалії України 🇺🇦,https://www.youtube.com/watch?v=Ip9IksF9Ij0,
бусификация,2025-08-10T15:40:21Z,0.17,🙄Адвоката не пускають в ТЦК #силова #бусификация #поліція #бусифікація #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=PVj1kfSAxbE,
бусификация,2025-08-10T12:59:36Z,1.42,🤬Вже пакують навіть без перевірок#бусификация #силова #поліція #бусифікація #тцк #новини#мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=HyGlIoy2Oo0,
бусификация,2025-08-10T10:19:48Z,0.83,"🤬Це група викрадення, а не оповіщення #силова #бусификация #бусифікація #поліція #тцк #мобілізація",Реалії України 🇺🇦,https://www.youtube.com/watch?v=yPlAbQQRgoE,
бусификация,2025-08-10T10:17:26Z,0.58,🚨🤯Витягли прямо з машини. #силова #поліція #тцк #бусифікація #бусификация #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=EaLe5U73qHg,
бусификация,2025-08-09T15:00:14Z,0.5,Кощеева игла режима Зеленского — бусификация 🎙️Алексей Арестович,Олексій Арестович,https://www.youtube.com/watch?v=BEwf7anj3X4,"Алексей Арестович - общественный деятель, политик, военный обозреватель, основатель и преподаватель школы ..."
бусификация,2025-08-09T14:39:06Z,0.63,🚨🤬🤯Дніпро.ТЦКашніки побили військового #силова #бусификация #поліція #бусифікація #тцк #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=ZFpeTLENXJA,
бусификация,2025-08-09T10:44:29Z,0.48,🤯Чоловік вийшов за ліками... #силова #бусификация #поліція #бусифікація #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=6RNecK8euVs,
бусификация,2025-08-09T09:26:29Z,0.57,🚨🤬Луцьк.ТЦК Викрали чоловіка з дружиною! #силова #бусификация #бусифікація #поліція #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=QwYjpKHlbXo,
бусификация,2025-08-08T14:10:05Z,0.47,🙄На фронті людей не вистачає..щось не схоже. #бусификация #силова #бусифікація #тцк #поліція #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=pm76XfbcLDA,
