query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-08-16T13:03:03Z,0.13,🤬Бугаї тянуть цивільного.Підпишись♥️ щоб знати більше👀,Реалії України 🇺🇦,https://www.youtube.com/watch?v=hKYXu-ENWas,"Отак у нас зараз проходе фільтрація. Тилові щури збирають цивільних, щоб ті йшли воювати замість них. #бусификация ..."
бусификация,2025-08-16T07:13:49Z,2.27,🤬Мукачево.Поліція у всій красі. Підпишись♥️щоб знати більше👀,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Byf1OLzZ30A,В Мукачево поліція після затримання чоловіка почала його лупцювати. Що їм за це буде? Ну догана...або більш за все ...
бусификация,2025-08-15T11:02:19Z,1.23,бусификация,Геннадій,https://www.youtube.com/watch?v=W22x-OcF-GE,
бусификация,2025-08-15T10:41:07Z,0.85,Не дав себе забусярити😁Підпишись♥️щоб знати більше👀,Реалії України 🇺🇦,https://www.youtube.com/watch?v=NuahI4JXFNk,Толпа ТЦКашників хотіли запихнути до буса оператора заправки. Але чолов'яга зміг за себе постояти  . #бусификация ...
бусификация,2025-08-14T05:53:42Z,1.47,Бусификация по русски😂😂😂#украина #россия #новостироссии,Ну как ТАК,https://www.youtube.com/watch?v=am-Q0nqdHu0,
бусификация,2025-08-14T02:56:51Z,0.78,🙄Львів.Завдяки людям вдалося вирватись #бусификация #силова #тцк #бусифікація #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=H2w4NGP4A3o,
бусификация,2025-08-14T02:15:49Z,0.48,😞Одеса.Нажаль догнали... #силова #бусификация #поліція #бусифікація #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=CHeGpWryzn8,
бусификация,2025-08-14T02:13:53Z,1.33,🙄Харків.Спакували разом з велосипедом #поліція #силова #бусифікація #тцк #бусификация #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=n2vFdcl6jCs,
бусификация,2025-08-13T11:42:55Z,0.42,🙄Луцьк.Запаковали таксиста #силова #бусификация #поліція #бусифікація #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=4k0zGn72GiU,
бусификация,2025-08-13T08:57:47Z,0.83,"🤯Луцьк.Хлопця в бус, собаку викинули #силова #бусификация #поліція #бусифікація #тцк #новини",Реалії України 🇺🇦,https://www.youtube.com/watch?v=qGayNqq98WQ,
