snapshot_date,publications,total_views,total_downloads,unique_views,unique_downloads,conversion_pct,mean_download_velocity,median_downloads,direct_download_anomalies,viral_outliers_z2,reader_loyalty_avg,download_depth_avg,gini_downloads,top20pct_download_share,earliest_pub,latest_pub
2026-06-29,27,2116,1747,1754,1306,82.56,22.3,25.0,4,1,1.17,1.29,0.649,66.6,2025-12-31,2026-06-18
2026-07-13,27,2362,2063,1997,1622,87.34,20.45,26.0,3,1,1.15,1.25,0.665,69.7,2025-12-31,2026-06-18
2026-07-21,27,2478,2211,2113,1769,89.23,20.17,28.0,5,1,1.14,1.22,0.66,69.5,2025-12-31,2026-06-18
2026-07-22,31,2498,2255,2129,1812,90.27,57.83,24.0,6,1,0.99,1.06,0.707,74.6,2025-12-31,2026-07-22
2026-07-23,32,2558,2273,2175,1829,88.86,56.49,20.5,5,1,1.19,1.06,0.713,74.5,2025-12-31,2026-07-23
2026-07-24,32,2608,2278,2217,1834,87.35,56.53,20.5,5,1,1.17,1.06,0.712,74.5,2025-12-31,2026-07-23
