query,publishedAt,duration_min,title,channelTitle,url,description
тцк,2026-01-11T06:00:06Z,0.43,Не зміг відбитися😞 Підпишись🔥підтримай поширення#бусификация #бусифікація #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=2zYjzCh8tns,
бусификация,2026-01-10T06:00:48Z,0.3,Не залишайтесь осторонь...Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк,ЗлийКіт,https://www.youtube.com/watch?v=hNvT-VL3HZw,
бусификация,2026-01-09T12:37:44Z,0.85,Откройте границы и бусификация прекратится! Ловить будет некого,Іншими словами ,https://www.youtube.com/watch?v=O1m0f3ReWwE,
бусификация,2026-01-09T05:00:00Z,0.22,Це вже буряти?🤔Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк,ЗлийКіт,https://www.youtube.com/watch?v=-XleV5mgsRs,
тцк,2026-01-08T16:00:21Z,0.77,Люди не стримують емоцій😎Підпишись🔥підтримай поширення #бусификация #бусифікація #тцк,ЗлийКіт,https://www.youtube.com/watch?v=Bjp_-susJe0,
бусификация,2026-01-08T05:00:27Z,0.33,ТЦК втрачають зв&#39;язок з реальністю.Підпишись🔥підтримай поширення #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=S35kyR9cKBY,
тцк,2026-01-07T05:00:54Z,0.87,ТЦК спіймали на гарячому.Підпишись🔥підтримай поширення #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=kHBtskoNIqc,
тцк,2026-01-06T05:01:03Z,0.6,Дивна поведінка поліції.Підпишись🔥підтримай поширення #бусификация #бусифікація #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=mzTq7k3kFnc,
бусификация,2026-01-05T05:01:02Z,0.28,ТЦК забули документи.Вірим?.Підпишись🔥підтримай поширення #бусификация #бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=kdIxdi8D_Dc,
бусификация,2026-01-08T06:00:51Z,0.48,Народу не подобається як працює ТЦК. #бусифікація #бусификация #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=v83gEhaJ2zA,
бусификация,2026-01-05T17:33:32Z,0.82,Мобілізація по Київськи. #бусифікація #бусификация #новини #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=WBb8xCEN6HY,
тцк,2026-01-11T08:53:51Z,0.18,ТЦК ПРИЙШЛИ ЗА ВАЛЄРОЮ #тцк #бусифікація #funny #viral #вірусне #гумор #смішне #собака,Quickly,https://www.youtube.com/watch?v=EqwVLwj171c,
тцк,2026-01-11T08:51:15Z,0.18,ТЦК ПРИЙШЛИ ЗА САШОЮ #тцк #україна #бусифікація #гумор #смішне #вірусне #viral #funny,1 КГ,https://www.youtube.com/watch?v=91vScjEbPIM,
тцк,2026-01-11T08:48:09Z,1.0,ТЦК жорстоко били вломили йому ногу і хлопець 16-річний взяв батька гр@н@ту підірвав себе,ALL ,https://www.youtube.com/watch?v=Dxy7ckhf_yE,Це просто невиносимо батько 16-річного хлопця прийшов в отпуск додому ТЦК зарвались його жорстоко били вломили ...
тцк,2026-01-11T08:26:20Z,2.02,ТЦК причавили бусом до стовпа!#ПраваЛюдини #ТЦК #Свавілля #Рівне #Закон #Конституція,JustTolik,https://www.youtube.com/watch?v=4yBoUcS-_1k,"ТЦК мікроавтобусом притиснули хлопця до паркану і тримали, поки він не знепритомнів від болю. Наслідки: зламані ребра ..."
тцк,2026-01-11T07:06:47Z,2.28,БУДАНОВ ПРОТИ ТЦК,Егор Кравцов,https://www.youtube.com/watch?v=8slrE4JMBRU,
тцк,2026-01-11T06:34:50Z,1.83,Карпати киплять! Гуцули сказали «ні» ТЦК — що відбувається насправді?#новини#події#україна,Живі Новини,https://www.youtube.com/watch?v=KmeM5fgmsmc,
тцк,2026-01-11T06:00:39Z,12.87,⚡️Обіцяє навести лад! БУДАНОВ взявся за армію та ТЦК — анонсовані зміни / КЛОЧОК,УНІАН TV,https://www.youtube.com/watch?v=c1ppidnoKSI,Підписуйтесь на канал Валерія Клочка: @klochoktime UA - Буданов провів нараду і анонсував рішення щодо СЗЧ та ...
тцк,2026-01-11T05:25:59Z,9.7,"«Народ проти ТЦК? момент, коли страх зник»",Красовицкий Александр Блог ,https://www.youtube.com/watch?v=-JazOfIpVEo,"Це відео виглядає так, ніби його зняли для фільму жахів. Але що, якщо це не кіно? Крики, паніка, натовп людей, чоловік під ..."
тцк,2026-01-11T04:30:31Z,0.67,Володимр Золкін про розгін інформації про тцк #війнавукраїні#золкін, Лідери Суспільної Думки,https://www.youtube.com/watch?v=QzTo6zJgMhk,Володимр Золкін про розгін інформації про тцк #війнавукраїні#золкін.
тцк,2026-01-11T00:00:24Z,2.98,#news #комаровский #комаровський #новинисьогодні #новости #війнавукраїні #атака #київ #тцк,Sirius_ua_Official,https://www.youtube.com/watch?v=oeVs_0SdyQs,
тцк,2026-01-10T22:54:41Z,1.0,"«Швидкі та ефективні рішення», - Буданов обіцяє вирішення проблеми корупції ТЦК і масових СЗЧ",Інсайдер,https://www.youtube.com/watch?v=jiUZbBQAU_M,буданов #сзч #тцк #зсу #війна #мобілізація #ухилянти.
тцк,2026-01-10T22:33:45Z,0.12,МНЕ ЗВОНИТ ТЦК ПАМАГИТЕ!!!,wert_team,https://www.youtube.com/watch?v=oR06rAlLkyk,
тцк,2026-01-10T22:18:57Z,2.1,"«Захищався лопатою», - ТЦК приїхали на мийку і запакували адміністратора. В нього була відстрочка ",Інсайдер,https://www.youtube.com/watch?v=55YYkyu7mKI,болград #зсу #мобілізація #тцк #ухилянти.
тцк,2026-01-10T21:34:09Z,0.27,В Одессе ЖЭК по з@к@зу ТЦК обзв@нивает собственников  недвижимости,M_GUR,https://www.youtube.com/watch?v=-kzRuOM-Vvk,
тцк,2026-01-10T21:32:21Z,0.8,99% потреб в піхотинцях забезпечує ТЦК. Не приходять люди добровільно з бажанням стати піхотинцем,Політична правда,https://www.youtube.com/watch?v=yZaWy2A2flc,
тцк,2026-01-10T21:21:53Z,2.93,Ответ пользователю Краматорск ТЦК и полиция,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=Ad40tdVkHLY,Ответ пользователю Краматорск ТЦК и полиция. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   адвокат ...
тцк,2026-01-10T21:06:30Z,12.73,👊 УДАР ПО КОРУПЦІЇ В ТЦК: Буданов зібрав силовиків — перші жорсткі рішення вже на столі - ПОСТЕРНАК,КИЇВ24 | Телеканал Київ  ,https://www.youtube.com/watch?v=2SAbB9ocfP0,"Олег Постернак , політтехнолог в ефірі Київ24 Підписуйтесь на наш YouTube-канал: ..."
тцк,2026-01-10T21:00:15Z,0.88,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=ziRAT46WSNM,
тцк,2026-01-10T20:58:19Z,0.93,#убд не отримають #гроші #україна #мобілізація #тцк,Юрист-Одеса / Максим Тимурович,https://www.youtube.com/watch?v=POrEOdg0rLs,
тцк,2026-01-10T20:50:18Z,0.45,ЦН@П будет сообщать в ТЦК о приходе в0енн00бязаNNых,M_GUR,https://www.youtube.com/watch?v=WoKe3GgHOW4,
тцк,2026-01-10T20:41:00Z,0.85,Чи буде інтервʼю з ТЦК?,vibroplus,https://www.youtube.com/watch?v=TMfJ4MKdLgQ,
тцк,2026-01-10T20:29:56Z,0.3,40 сек на спілкування з ТЦК?,vibroplus,https://www.youtube.com/watch?v=MCCEgxsoSYk,
тцк,2026-01-10T20:24:20Z,0.92,Зустрічав ТЦК?,vibroplus,https://www.youtube.com/watch?v=IHPE8bdFl1g,
тцк,2026-01-10T20:22:29Z,1.13,ТЦК уберут с улиц - опровержение,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=mrQyOLTzSt8,ТЦК уберут с улиц - опровержение. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   адвокат консультация тцк.
тцк,2026-01-10T19:52:01Z,0.32,ТЦК уже в ua online #uaonline #тренд #крмп,Kruvol,https://www.youtube.com/watch?v=fICUz68saWM,
тцк,2026-01-10T19:47:49Z,0.27,ТЦК забрало онука,Пілот безпілотника,https://www.youtube.com/watch?v=E3qDaxdQ0VA,"Бабуся з трибуни у В.Р. про дії тцк стосовно її онука, який не повинен був опинитись там, де опинився Відео має виключно ..."
тцк,2026-01-10T19:38:55Z,1.83,Як іще можна зустрічати ТЦК? #роботаукраїна #роботаонлайн #роботавнімеччині,Karpaty,https://www.youtube.com/watch?v=O2376tvrexs,
тцк,2026-01-10T19:10:49Z,8.12,Украина ТЦК (2),Деревенская душа,https://www.youtube.com/watch?v=_fA-ocsPoLw,
тцк,2026-01-10T18:38:57Z,0.6,ТЦК брало ХАБАРІ автомобілями. Рівенське ТЦК,Вони крадуть!,https://www.youtube.com/watch?v=_0KyM-3zwOk,
