query,publishedAt,duration_min,title,channelTitle,url,description
тцк,2026-01-02T12:31:21Z,0.17,Покатали ТЦК з вітерцем😎Підпишись🔥підтримай поширення#бусификация #бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=sz4pj2-RyUw,
тцк,2026-01-02T05:00:32Z,0.13,ТЦК не фартануло😎Підпишись🔥підтримай поширення #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=KmyKxyG4cMo,
бусификация,2026-01-01T08:30:24Z,0.4,ТЦК привітало з різдвом...Підпишись🔥підтримай роширення#бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=ScQFboA7jM8,
бусификация,2025-12-31T05:30:27Z,0.55,Чоловік обороняючись від побоїв ТЦК застосував ніж. #бусификация #бусифікація #новини,ЗлийКіт,https://www.youtube.com/watch?v=WM7VtRcqhcg,
тцк,2025-12-30T16:30:18Z,0.22,Акробатика мобілізації.Підришись🔥підтримай поширення #бусификация #бусифікація #тцк #новини #news,ЗлийКіт,https://www.youtube.com/watch?v=dcsobGfvAUk,
бусификация,2026-01-03T19:01:05Z,0.53,Харьковская бусификация &quot;добровольца&quot; силами целого отделения людоловов #тцк #войнавукраине2025,БусификаторUA,https://www.youtube.com/watch?v=xYUl8ZomE2M,
тцк,2026-01-04T15:30:36Z,3.58,"МАТІР загиблого воїна, рознесла ТЦК. Накинулись на ДОНЬКУ. ПОКИ я ховала СВОГО сина. ДЕ БУЛИ ви",АресTV,https://www.youtube.com/watch?v=hmNkXrQEm2g,Більше деталей в нашому відео. Все про ситуацію.
тцк,2026-01-04T15:22:19Z,0.83,Випадок із ТЦК - АЗОВ  #azov #ukrainewar   #military #ukraine #dnipro  #зсу,ГАРНІЗОН,https://www.youtube.com/watch?v=YNHC9xX4H2k,
тцк,2026-01-04T15:02:07Z,1.23,￼прогнозовані зміни у мобілізації 2016 #мобілізація #тцк #відстрочка #зсу,Адвокат Поліна Марченко,https://www.youtube.com/watch?v=577YkvakdnA,
тцк,2026-01-04T13:00:22Z,0.25,ТЦК: &quot;Я в 23 пішов воювати!&quot; А він? ⚔️,Legal Land,https://www.youtube.com/watch?v=7pJVsUChIX4,"тцк, поліція, незаконне затримання, право на зйомку, розшук ухилянтів, незаконна мобілізація, повістка, кайданки 1 факт ..."
тцк,2026-01-04T13:01:04Z,0.15,"ТЦК зупинили чоловіка, а він не втримався #shorts #тцк #гумор #новини #ржакадосліз #україна #вірусне",AI Gone Crazy,https://www.youtube.com/watch?v=ZMsCjgQgH1U,"Тцк зупинили,а він почав тікати! “Відео створено з використанням штучного інтелекту на основі оригінального сценарію ..."
тцк,2026-01-04T13:01:37Z,0.28,Харків ТЦК ОБЛАВА🔥,Пильний Дніпрянин,https://www.youtube.com/watch?v=plCKMCnG_yk,"Харків ТЦК ОБЛАВА   https://youtube.com/shorts/plCKMCnG_yk?feature=share Ставте та підписуйтесь на канал, щоб ..."
тцк,2026-01-04T12:55:52Z,0.5,УКРАЇНА! Когда все стали преступники!? #ухилянти #тцк #кринж #войнанаукраине #крипта,Johnny Freee,https://www.youtube.com/watch?v=neOghfJ1S0A,
тцк,2026-01-04T12:46:13Z,9.47,ОДЕССА - ПОНАЕХАВШИЕ СНОСЯТ ОДЕССУ! ТЦК ЛЮТУЮТ! БАНДЕРЫ ОБИЖАЮТ ОДЕССУ МАМУ! УЛИЦА БЕЛИНСКОГО!,NEMO,https://www.youtube.com/watch?v=Rztts5zDWlY,
тцк,2026-01-04T11:35:04Z,0.9,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=4Aqro6C69zA,
тцк,2026-01-04T11:18:17Z,1.78,Реальные будни жизни в Украине сегодня! #одесса #телюди #принцессамолдаванки #украина #тцк,ТІ ЛЮДИ💙💛,https://www.youtube.com/watch?v=EH_x5ranTl4,
тцк,2026-01-04T10:54:39Z,0.17,#memes тоху забрало тцк😂😂😂,плой_ €$Р_game,https://www.youtube.com/watch?v=pPF_Mqfn4Kw,
тцк,2026-01-04T10:30:29Z,0.15,Тцк на заправці пресують  Мішу #shorts #ухилянти #бусифікація #україна#гумор,НейроТрэш,https://www.youtube.com/watch?v=Prm_EX1vDXg,Тцк на заправці підійшли до Міши! Відео створено з використанням штучного інтелекту на основі оригінального сценарію ...
тцк,2026-01-04T10:17:01Z,0.77,"Демобілізація,Сзч #зсу #україна #київ #киев #новини #топ #львів #днепр #харьков #тцк #війна ##всу",ЮРИСТ Бондаренко,https://www.youtube.com/watch?v=wiYbI2YmXAo,
тцк,2026-01-04T10:08:29Z,0.37,ТЦК  Сила чи Молодість  Правда про мобілізацію #shorts,Дебелі UA,https://www.youtube.com/watch?v=hoRtY2X5FyY,shorts #буданов #мобілізація #тцк.
