query,publishedAt,duration_min,title,channelTitle,url,description
тцк,2025-11-16T23:18:03Z,0.47,УКРАИНА И ОХОТА НА ТЦК,Виталий Полезный,https://www.youtube.com/watch?v=Hv3jGlqZckY,
тцк,2025-11-16T21:00:30Z,0.27,Нові відчуття😍Щаслива відстрочка                     #адвокат #тцк #бусифікація #відстрочка #бронь,Ihor Herasymenko,https://www.youtube.com/watch?v=BwTgO1Oc2pE,
тцк,2025-11-16T20:28:24Z,0.97,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=RIo7OB2qDUQ,
тцк,2025-11-16T20:27:27Z,0.97,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=N63cnlOr1f0,
тцк,2025-11-16T20:24:48Z,0.32,Військовий СЗЧ кинув гранату в поліцейських та працівників ТЦК на Львівщині,𝗔𝗡𝗗𝗥𝗜𝗜 𝗢𝗦𝗧𝗔𝗡𝗗,https://www.youtube.com/watch?v=mXQe-RflpoI,
тцк,2025-11-16T20:02:46Z,0.18,МОБИЛИЗАЦИЯ ТЦК,Getlow,https://www.youtube.com/watch?v=1sOb0u684rA,"ПОСТАВЬТЕ ЛАЙК И ПОДПИШИТЕСЬ, Я НА ЭТО ПОТРАТИЛ 21 ЕВРО."
тцк,2025-11-16T19:07:42Z,0.42,#trend #viralvideo #тцк #покровск #ukraine #топ,триган- д,https://www.youtube.com/watch?v=e01Coh5cghw,
тцк,2025-11-16T19:00:24Z,1.13,Нарезка Yurchek - Сбежал от ТЦК №3,Хефорде (Хед),https://www.youtube.com/watch?v=mctkHsJ-P2M,"История начинается с того, что ТЦКшник на вертолёте летит проверять деревню. Юра тем временем заезжает в бар, ..."
тцк,2025-11-16T19:00:48Z,0.18,ТЦК vs Поліція: Хто має владу?,Legal Land,https://www.youtube.com/watch?v=nqXHxXzN9K4,"тцк, поліція, незаконне затримання, право на зйомку, розшук ухилянтів, незаконна мобілізація 1 факт = 1 норма: Гідність ..."
тцк,2025-11-16T18:56:35Z,0.37,Нарезка Yurchek - Сбежал от ТЦК №1,Хефорде (Хед),https://www.youtube.com/watch?v=QwGW4-Xvd9k,"Юрчик спокойно ехал в бар, даже не подозревая, что ТЦКшник уже вылетел на вертолёте патрулировать деревню. В баре ..."
тцк,2025-11-16T18:22:27Z,3.7,Почти сбежал от ТЦК! - Приключения Yurcheka #2,Хефорде (Хед),https://www.youtube.com/watch?v=FiIlZcwsjkQ,Оставлять коментарии могут только подписчики! ;) Актёр 1 - @Makar-bu6rx Актёр 2 - @Yurchek_horoshy ТЦКшник ...
тцк,2025-11-16T18:06:33Z,1.2,Суд и ТЦК,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=Dcpt9aQKIos,Суд и ТЦК. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката. #лукьянчиков ...
тцк,2025-11-16T18:01:15Z,10.32,Соц Опрос: ТЦК на Улицах Украины,Vladys Vox,https://www.youtube.com/watch?v=0NjXC3YXdbE,
тцк,2025-11-16T17:58:31Z,0.33,Речник полтавського ТЦК про бодікамери. Мобілізація в Україні.,Нарізайко,https://www.youtube.com/watch?v=huC2EgDSmcM,Речник полтавського ТЦК про те чи потрібні їм бодікамери під час проведення мобілізації. Мобілізація в Україні під час війни ...
тцк,2025-11-16T17:57:44Z,4.27,Львівське ТЦК хотіли мене мобілізувати.,Dnepr Kremea,https://www.youtube.com/watch?v=ssep_rjl3eE,Беспредел Львівського ТЦК з поліцією 13.11.2025.
тцк,2025-11-16T17:46:37Z,0.65,Якщо ви не знали #меми #політикаукраїни #мемиукраїнською #ухилянти #поліція #тцк #україна #сміх,Re:Imagine,https://www.youtube.com/watch?v=c93B4-mdARk,
тцк,2025-11-16T17:01:08Z,0.25,Підпишись! Щоб зупинити ТЦК! #тцк #корупція #корупціявукраїні #новини #війна #україна #мобілізація,Ухилянт Жора ,https://www.youtube.com/watch?v=ePAjjz3Un0U,
тцк,2025-11-16T16:37:17Z,0.13,Два ТЦК-шніка в аптеці😅,Shostka Smartcity,https://www.youtube.com/watch?v=SQ08MezyfpY,
тцк,2025-11-16T16:27:20Z,6.12,Самвел Адамян/🎭ДНЕПРОВСКИЙ «ФУРОР» САМВЕЛА! ГАСТРОЛИ В КИЕВЕ! ТЦК ЗАБИРАЮТ РАБОТНИКОВ ТЕАТРА!,Tasty with OK,https://www.youtube.com/watch?v=7ZwtpsLqyIg,Самвел Адамян / ДНЕПРОВСКИЙ «ФУРОР» САМВЕЛА! ГАСТРОЛИ В КИЕВЕ! ТЦК ЗАБИРАЮТ РАБОТНИКОВ ТЕАТРА!
тцк,2025-11-16T16:23:34Z,0.08,⚠️ Мобілізація: Плани не виконуються — Полтавський ТЦК,OXI NEWS,https://www.youtube.com/watch?v=yog0SzyxZQA,"Спікер Полтавського об'єднаного територіального центру комплектування Істомін повідомив, що плани мобілізації наразі ..."
тцк,2025-11-16T16:10:37Z,0.27,Послуга від ТЦК для киян. відстрочка на 1 годину за 1000 грн.#тцк #політикаукраїни #юмор,POLUPRAVDA ,https://www.youtube.com/watch?v=ePMwmKgcwSQ,
тцк,2025-11-16T15:15:42Z,9.5,НОВЫЙ МАЙДАН И О ЧЕМ ГОВОРИТ КОЛОМОЙСКИЙ...НЕ ПРО ТЦК.,Алексей Сидоров мнение.,https://www.youtube.com/watch?v=zlgRRvkLWWk,НОВЫЙ МАЙДАН И О ЧЕМ ГОВОРИТ КОЛОМОЙСКИЙ...
тцк,2025-11-16T15:13:05Z,5.95,🔥ОПИТУВАННЯ УКРАЇНЦІВ: Чи підтримуєте ви дії ТЦК?,ВІДВЕРТО LIVE,https://www.youtube.com/watch?v=895SmSRlUM8,"Дії ТЦК, м'яко кажучи, викликають питання. Ми запитали українців, що вони про це думають. КАНАЛ ВІДВЕРТО LIVE ..."
тцк,2025-11-16T15:05:26Z,1.07,ВПО и ТЦК,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=zyCUiWMa5Ac,ВПО и ТЦК. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката. #лукьянчиков ...
тцк,2025-11-16T15:05:27Z,1.68,ТЦК: закон или желание начальника? ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣👈 консультация адвоката,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=FauZrxYhFTU,ТЦК: закон или желание начальника? ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката.
тцк,2025-11-16T15:05:27Z,1.2,Штраф ТЦК: обжаловать бесплатно,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=y6HvJpF0ul8,Штраф ТЦК: обжаловать бесплатно. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката.
тцк,2025-11-16T14:54:56Z,0.9,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=wxs-yrcd4fI,
тцк,2025-11-16T14:53:59Z,1.02,"В ТЦК служать ті, хто знає війну не з новин.",Закарпатський ОТЦК та СП,https://www.youtube.com/watch?v=r9GRYEorNZ0,"В ТЦК служать ті, хто знає війну не з новин. Тут воїни, які пройшли передову, втрати, холод і страх -і не зламалися. У цьому ..."
тцк,2025-11-16T14:54:07Z,1.42,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=LooNLeqn4Pw,
