query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2025-09-14T15:16:28Z,3.43,Харьков. ТЦК. Полицаи. Бусификация,O_O,https://www.youtube.com/watch?v=KzQ5VBrVBu4,
бусификация,2025-09-14T15:01:39Z,0.27,Когда может прекратиться бусификация? 🎙️Алексей Арестович,Олексій Арестович,https://www.youtube.com/watch?v=yHbOYpr1cmI,"Алексей Арестович - общественный деятель, политик, военный обозреватель, основатель и преподаватель школы ..."
бусификация,2025-09-13T17:33:24Z,0.15,😄Народна творчість😂 #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=7Uaz1rLYtI0,
бусификация,2025-09-13T15:09:59Z,0.58,🤯Погрожуючи зброєю бусифікували! #бусификация #бусифікація #силова #поліція #тцк #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=cLrrydbp344,
бусификация,2025-09-13T10:11:57Z,0.47,🤯Ковель.Підлітка збили бусом. #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=40vz_jQ7KxI,
бусификация,2025-09-13T10:07:07Z,0.9,😞Без слів ... #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація #новиниукраїни,Реалії України 🇺🇦,https://www.youtube.com/watch?v=cVkLPTzAXEg,
бусификация,2025-09-12T05:36:30Z,0.32,Одесса.Бусификация,Одесса в Сердце ,https://www.youtube.com/watch?v=M3MP6agJyfk,
бусификация,2025-09-12T05:28:28Z,1.63,Де ти служиш?На трасі?😄 #бусификация #бусифікація #силова #поліція #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=WOdzdfb9TGI,
бусификация,2025-09-11T16:51:57Z,0.82,"Ось вони, Українські буряти🤬 #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація",Реалії України 🇺🇦,https://www.youtube.com/watch?v=_OHC2Km0NVg,
бусификация,2025-09-11T16:47:31Z,0.15,Львів🤬ТЦК збили та викрали велисопедиста. #бусификация #бусифікація #силова #поліція #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=s709CeGK83o,
бусификация,2025-09-11T07:36:19Z,0.5,🚨Дніпро.ТЦК бусифікують цивільного. #бусифікація #бусификация #силова #поліція #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=0CxE9ql7jbo,
бусификация,2025-09-10T11:46:20Z,0.75,🙄Реально про лапшу на наших вухах#бусификация #бусифікація #силова #поліція #новини#тцк #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Z-MWNpzvtng,
бусификация,2025-09-10T11:45:03Z,0.4,🤬Мобілізація в лікарні. #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=Cw-zx1-a2nA,
бусификация,2025-09-09T10:12:17Z,1.63,Черкаси🤬Вийшов за квасом. #бусификация #бусифікація #силова #поліція #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=jjxffQtievo,
бусификация,2025-09-08T11:15:28Z,0.08,Так званий&quot;поодинокий випадок&quot;. #бусификация #бусифікація #силова #поліція #тцк #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=xjK2gEh-yI4,
бусификация,2025-09-08T11:12:16Z,0.43,ТЦКашні сцикуни герої тільки коли натовпом на одного. #бусификация #бусифікація #силова #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=uc_Y3fmdtv4,
бусификация,2025-09-14T10:43:10Z,1.03,🤬Потвори заливають жінку газом! #бусификация #бусифікація #силова #поліція #новини #тцк #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=HZwLmn58il8,
бусификация,2025-09-13T02:49:01Z,0.32,&quot;ЗЕ&quot;тушки в Дніпрі викрадають цивільного.#бусификация #бусифікація #силова #тцк #новини #мобілізація,Реалії України 🇺🇦,https://www.youtube.com/watch?v=0oOhOHxfFj8,
бусификация,2025-09-13T02:31:08Z,0.4,🤬Дніпро.4 ТЦКашніка ногами бьють чоловіка. #бусификация #бусифікація #силова #тцк #новини #поліція,Реалії України 🇺🇦,https://www.youtube.com/watch?v=PwxJKEdUsxU,
бусификация,2025-09-12T04:41:10Z,0.93,🚨Поліція і ТЦК відірвали чоловіку пальця!!! #бусификация #бусифікація #силова #поліція #тцк #новини,Реалії України 🇺🇦,https://www.youtube.com/watch?v=AhwDF7TRc9I,
бусификация,2025-09-11T16:49:54Z,0.38,Одеса🤬Поліцецськи забиває кийком лежачого цивільного. #бусификация#бусифікація #силова #поліція #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=msAp330Jw-Q,
